Id,Questions,Ack,Process_Variable,AdaptiveInd,branchY,branchN,Bot Interpreted,Bot Name,Path,Next Question Prefix,Help Text,Type,Option1,Option2,Option3,Processing Needed,Section_Id,Section Text
240,"What is your Notice period (e.g. 30 days, 2 months, available)?",,psNoticePeriod,,,,y,noticePeriod,y,,"Please indicate your notice period in days or months, for example - 30 days, 2 months, etc",Plain,,,,n,Terms_and_Conditions,
250,Do you have an option to 'buy out' notice period?,,psBuyNoticeInd,y,260,270,y,yesOrNo,y,,Please answer in Yes or No only emoji: slightly_smiling_face,Plain,Yes,No,,n,Terms_and_Conditions,
260,If you can buy out what is minimum period that you need to serve (e.g. within 7/15/30/45/60 days)?,,psMinNoticePrd,,,,y,noticePeriod,y,,"Please indicate your notice period in days or months, for example - 30 days, 2 months, etc",Plain,Yes,No,,y,Terms_and_Conditions,
270,Are you serving a notice period now?,,psServingNoticePrd,,,,y,yesOrNo,y,Ok # Ok,Please answer in Yes or No only emoji: slightly_smiling_face,Plain,Yes,No,,n,Terms_and_Conditions,
280,"Why are you looking for a change - please mention top 2-3 reasons (e.g. role mismatch, career growth, skill enhancement, worklife balance, On-site opportunity)?",Noted,psChangeReasons,,,,n,,y,,,Plain,,,,n,Terms_and_Conditions,
290,Do you have a valid Work Authoristion visa to work in this Country?,,psValidVisaInd,,,,y,yesOrNo,y,Ok # Ok,Please answer in Yes or No only emoji: slightly_smiling_face,Plain,Yes,No,,n,Terms_and_Conditions,
300,Do you have a valid Indian Passport?,,psValidPassportInd,,,,y,yesOrNo,y,Ok # Hmm...,Please answer in Yes or No only emoji: slightly_smiling_face,Plain,Yes,No,,n,Terms_and_Conditions,
310,Is your Current role Full Time/Part Time/Contract?,Ok,psFullPartContract,,,,n,,y,,,Plain,Full Time,Part Time,Contract,n,Terms_and_Conditions,
320,Have you signed any Bond on employement?,,psBondEmplmnt,,,,y,yesOrNo,y,I see...# ok,Please answer in Yes or No only emoji: slightly_smiling_face,Plain,Yes,No,,y,Terms_and_Conditions,
330,The role has $$roundsOfInterView  round(s) of Technical and Cultural Fit round. Hope that is ok?,,psRndsAgreeInd,,,,y,yesOrNo,,"Great!# Ok, noted.",Please answer in Yes or No only emoji: slightly_smiling_face,Plain,Yes,No,,y,,
340,How flexible you are with interview schedule? Would you need any advance notice for each round?,Ok,psInterviewNotice,,,,n,,y,,,Plain,,,,y,,
